44.664279/-63.617114/Big Brothers Big Sisters, 6300 Lady Hammond Road, Halifax
44.618001/-63.614995/Sobeys, 279 Herring Cove Road, Halifax
44.663006/-63.657661/Sobeys, 287 Lacewood Drive, Halifax
44.652744/-63.5995/Sobeys, 2651 Windsor Street, Halifax
44.64496/-63.618919/Sobeys, 6960 Mumford Road, Halifax
44.637269/-63.573997/Sobeys, 1120 Queen Street, Halifax
44.645729/-63.669182/Value Village, Drive Through, 165 Chain Lake Drive, Halifax
44.657397/-63.627436/Superstore, 3601 Joseph Howe Drive, Halifax
44.638206/-63.569586/Superstore, 1075 Barrington Street, Halifax
44.658317/-63.604152/Superstore, 6141 Young Street, Halifax
44.64606/-63.59602/Quinpool Plaza, Quingate Place (Canadian Tire parking lot), Halifax
44.683336/-63.66075/Farmer Clem’s, 389 Bedford Highway, Halifax
44.623867/-63.617542/Guardian Drugs, 205 Herring Cove Road, Halifax
44.715023/-63.678174/Sobeys, 961 Bedford Highway, Bedford
44.723782/-63.736332/Valufoods, 1210 Hammonds Plains Road, Bedford
44.733708/-63.655762/Superstore, 1650 Bedford Highway, Bedford
44.750874/-63.644156/Canadian Tire, 150 Damascus Road, Bedford
44.774823/-63.694026/Ultramar, 817 Sackville Drive, Bedford
44.759737/-63.659908/Needs, 216 Cobequid Road, Sackville
44.771875/-63.694873/Sobeys, 752 Sackville Drive, Sackville
44.667654/-63.566994/Big Brothers Big Sisters, 86 Ochterloney Street, Sackville
44.655047/-63.530886/Sobeys, 268 Baker Drive (Russell Lake), Dartmouth
44.672314/-63.492126/Sobeys, 2 Forest Hills Drive, Dartmouth
44.648838/-63.544265/Value Village, Drive Through, 375 Pleasant Street, Dartmouth
44.686453/-63.519462/Dave’s Fruit & Vegetable Market, 322 Main Street, Dartmouth
44.659338/-63.551542/Woodside Plaza, Pleasant Street, Dartmouth
44.681307/-63.547758/Superstore, 9 Braemar Drive, Dartmouth
44.709479/-63.568756/Premiere Self Storage, 610 Wright Avenue, Dartmouth
44.656586/-63.489287/Needs, 8 Astral Drive, Dartmouth
44.671146/-63.532644/Ultramar, 581 Portland Street, Dartmouth
44.704149/-63.859195/Hubley Centre, near Wilson’s Gas, Upper Tantallon
44.733766/-63.788122/Hammonds Plains Pharmacy, 2120 Hammonds Plains Road, Tantallon
44.686657/-63.875628/Canadian Tire, 5130 St. Margaret’s Bay Road, Tantallon
44.687982/-63.878361/Redmond Mall, 5209 St. Margaret's Bay Road, Tantallon
44.7254653/-63.7046539/BMO Centre, 61 Gary Martin Drive, Bedford, NS
44.6120625/-63.4726518/Eastern Passage Baptist Church, Eastern Passage, NS
44.7011417/-63.4781924/Akoma Centre, 1018 Main Street, Dartmouth, NS
44.787435/-63.7178908/G's Convenience Store, 65 Millwood Drive, Sackville, NS
44.6937771/-63.4996748/Sobeys Panavista, 612 Main Street, Dartmouth, NS
44.6716065/-63.541511/Sobeys Penhorn, 551 Portland Street, Dartmouth, NS
44.6368197/-63.7018148/Lakeside Community Centre, 1492 Saint Margarets Bay Road, Lakeside, NS
