B1A, Glace Bay
B1B, Port Morien
B1C, Louisbourg
B1E, Reserve Mines
B1G, Dominion
B1H, New Waterford
B1J, East Bay
B1K, Marion Bridge
B1L, Sydney Southwest
B1M, Sydney East
B1N, Sydney North
B1P, Sydney North Central
B1R, Sydney West
B1S, Sydney Central
B1T, Christmas Island
B1V, North Sydney North
B1W, Eskasoni
B1X, Big Bras d'Or
B1Y, Alder Point
B2A, North Sydney South Central
B2C, Iona
B2E, Loch Lomond
B2G, Antigonish
B2H, New Glasgow
B2J, Fourchu
B2N, Truro
B2R, Waverley
B2S, Lantz
B2T, Enfield/Fall River/Halifax Stanfield International Airport
B2V, Dartmouth/Morris Lake/Cole Harbour
B2W, Dartmouth East Central/Portland Estates/South Woodside/Woodlawn
B2X, Dartmouth North Central
B2Y, Dartmouth South Central/North Woodside
B2Z, Dartmouth East/East Lawrencetown/Preston/Minewille/Upper Lawrencetown
B3A, Dartmouth North
B3B, Dartmouth Northwest/Burnside
B3E, Porters Lake
B3G, Eastern Passage
B3H, Halifax Lower Harbour
B3J, Halifax Mid-Harbour/Nova Scotia Provincial Government
B3K, Halifax Upper Harbour/Canadian Forces MARLANT
B3L, Halifax Central
B3M, Halifax Bedford Basin
B3N, Halifax South Central
B3P, Halifax North West Arm
B3R, Halifax South
B3S, Halifax West/Bayers Lake/Clayton Park
B3T, Lakeside
B3V, Harrietsfield
B3Z, Tantallon
B4A, Bedford Southeast
B4B, Bedford Northwest
B4C, Lower Sackville South
B4E, Lower Sackville West
B4G, Lower Sackville North
B4H, Amherst
B4N, Kentville
B4P, Wolfville
B4R, Coldbrook
B4V, Bridgewater
B5A, Yarmouth
B6L, Truro Colchester County
B9A, Port Hawkesbury
